CEP,lat,lon
49050650,-10.9270962,-37.0654562
49037220,-10.9812055,-37.0536287
49043452,-10.9898298,-37.0988075
49048430,-10.9443500,-37.0725823
49030490,-10.9688392,-37.0710290
49020460,-10.9318864,-37.0506400
49030460,-10.9753848,-37.0645438
49032060,-10.9771226,-37.0597478
49037603,-10.9964428,-37.0744961
49000480,-11.0045415,-37.0853698
49037620,-10.9876469,-37.0535577
49042430,-10.9635564,-37.0810983
49042140,-10.9677421,-37.0838817
49035660,-10.9607146,-37.0422686
49030720,-10.9734325,-37.0714497
49048390,-10.9402255,-37.0707319
49035180,-10.9681399,-37.0431631
49030130,-10.9659826,-37.0691265
49004252,-11.0339224,-37.0897580
49095100,-10.9427834,-37.0835792
49000626,-11.0046345,-37.0877251
49030640,-10.9773421,-37.0708085
49037475,-10.9811956,-37.0434951
49037450,-10.9854557,-37.0558601
49025390,-10.9351586,-37.0572829
49045200,-10.9348580,-37.0641304
49025480,-10.9345499,-37.0589811
49035170,-10.9780518,-37.0426112
49026010,-10.9464827,-37.0628794
49035750,-10.9711540,-37.0376573
49037510,-10.9852647,-37.0481910
49035380,-10.9721139,-37.0401673
49037200,-10.9863558,-37.0549486
49037460,-10.9885295,-37.0551665
49040490,-10.9524206,-37.0594057
49030000,-10.9721186,-37.0686870
49035680,-10.9609048,-37.0433499
49025530,-10.9394858,-37.0538787
49000447,-11.0055339,-37.0808475
49032360,-10.9672155,-37.0561872
49037290,-10.9907955,-37.0770177
49095290,-10.9442500,-37.0800028
49045083,-10.9333559,-37.0654725
49037659,-10.9892895,-37.0719275
49000601,-11.0091721,-37.0874581
49030290,-10.9748885,-37.0741446
49025700,-10.9336566,-37.0566813
49035230,-10.9692990,-37.0464997
49007433,-11.0570697,-37.1115163
49035310,-10.9723078,-37.0409648
49027000,-10.9406331,-37.0628413
49032150,-10.9717819,-37.0562301
49048250,-10.9414140,-37.0706157
49047230,-10.9344420,-37.0739194
49035710,-10.9713558,-37.0456517
49000323,-11.0147227,-37.0850008
49004003,-11.0229001,-37.0736619
49027390,-10.9414582,-37.0620913
49035645,-10.9816500,-37.0470594
49037540,-10.9875034,-37.0532847
49037843,-10.9873045,-37.0619900
49035770,-10.9698871,-37.0454766
49025220,-10.9345895,-37.0570252
49035243,-10.9691713,-37.0472431
49037400,-10.9911328,-37.0781011
49035350,-10.9816500,-37.0470594
49044093,-10.9869103,-37.0971405
49035470,-10.9815440,-37.0493973
49030213,-10.9717652,-37.0613276
49015972,-10.9184099,-37.0492844
49035190,-10.9683071,-37.0389376
49095815,-10.9297554,-37.0836026
49037453,-10.9842217,-37.0554799
49032280,-10.9664785,-37.0550347
49042010,-10.9660857,-37.0806984
49032016,-10.9684585,-37.0551836
49000644,-11.0051451,-37.0866016
49025750,-10.9418057,-37.0563121
49032440,-10.9767761,-37.0544487
49037550,-10.9878536,-37.0502281
49037000,-10.9908969,-37.0570276
49032250,-10.9751670,-37.0587282
49037849,-10.9875062,-37.0613306
49040970,-10.9517168,-37.0791468
49035630,-10.9653737,-37.0429185
49032420,-10.9737499,-37.0582354
49042190,-10.9666981,-37.0798594
49030250,-10.9643449,-37.0645231
49035240,-10.9766994,-37.0420056
49095000,-10.9235979,-37.0810515
49037330,-10.9927930,-37.0580453
49037530,-10.9926572,-37.0745959
49004024,-11.0251143,-37.0811382
49035020,-10.9807469,-37.0476470
49052360,-10.9197104,-37.0613034
49032300,-10.9691255,-37.0544501
49035110,-10.9784335,-37.0474908
49037710,-10.9940418,-37.0761406
49037120,-10.9938559,-37.0608453
49035740,-10.9661144,-37.0442100
49037230,-10.9970121,-37.0733802
49035355,-10.9816500,-37.0470594
49040696,-10.9552851,-37.0783468
49038260,-10.9936008,-37.0787003
49037490,-10.9900842,-37.0571483
49037060,-10.9937340,-37.0569054
49035100,-10.9735259,-37.0427936
49032490,-10.9705021,-37.0553791
49037020,-10.9913026,-37.0792358
49040100,-10.9535913,-37.0629071
49042120,-10.9700242,-37.0845122
49031040,-10.9694828,-37.0722501
49000302,-11.0165217,-37.0832997
49043600,-10.9942246,-37.1005877
49037580,-10.9861652,-37.0658907
49045670,-10.9358146,-37.0656096
49031434,-10.9662670,-37.0649823
49030210,-10.9712152,-37.0593060
49020005,-10.9318864,-37.0506400
49032240,-10.9755315,-37.0592266
49035490,-10.9698405,-37.0389374
49000623,-11.0081883,-37.0853474
49037370,-10.9896135,-37.0744715
49075100,-10.9226827,-37.0709707
49037193,-10.9920746,-37.0700585
49035785,-10.9745148,-37.0386583
49087040,-10.8957675,-37.0829417
49037240,-10.9931738,-37.0537329
49025100,-10.9391031,-37.0604063
49035050,-10.9657211,-37.0389468
49025730,-10.9420320,-37.0518231
49025400,-10.9391031,-37.0604063
49037380,-10.9938009,-37.0555392
49038443,-11.0062271,-37.0737310
49001012,-10.9998634,-37.0872859
49032010,-10.9691620,-37.0550612
49030780,-10.9750857,-37.0683217
49037340,-10.9920938,-37.0539437
49000596,-11.0094870,-37.0900777
49026100,-10.9449248,-37.0567744
49042250,-10.9669811,-37.0832755
49048010,-10.9447543,-37.0698729
49087473,-10.8896593,-37.0839775
49027015,-10.9408995,-37.0642225
49037090,-10.9939032,-37.0580582
49037420,-10.9908662,-37.0544483
49030040,-10.9717709,-37.0700683
49037470,-10.9928055,-37.0525654
49027010,-10.9427963,-37.0678241
49037040,-10.9977554,-37.0720857
49095806,-10.9401303,-37.0859238
49097500,-10.9332337,-37.0772542
49000399,-11.0086916,-37.0927003
49037693,-10.9913755,-37.0709117
49025330,-10.9394083,-37.0531356
49035810,-10.9711540,-37.0376573
49044526,-10.9862083,-37.0951530
49035690,-10.9736614,-37.0420453
49003223,-11.0019741,-37.0980775
49004020,-11.0228974,-37.0799579
49025180,-10.9403794,-37.0517202
49096291,-10.9514267,-37.0926188
49035300,-10.9718402,-37.0393396
